target_id	pdb_id	status	domain_ids	domain_residue_ranges	chain_id	auth_chain_id	entity_id	observed_label_seq_ranges	observed_label_seq_count	domain_residue_coverage	domain_missing_count	chain_supports_domain	reference_path	sha256	notes
T1228V1	9dxh	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	K	O	4	1-25	25	0.046729	510	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxh.cif	c9ec82e7ed6b00da69e5b9b8ee06a6c3395928d9c647bcdc679cf085bffbf9d9	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXH_1 | attPmm and attBmm bound serine integrase complex in the pre-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxh	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	L	P	5	1-24	24	0.044860	511	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxh.cif	c9ec82e7ed6b00da69e5b9b8ee06a6c3395928d9c647bcdc679cf085bffbf9d9	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXH_1 | attPmm and attBmm bound serine integrase complex in the pre-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxj	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	A	A	1	3-537	535	0.996262	2	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxj.cif	b3bff78292d680d651082b779229f289e59719af091b2fb55334f1fff40378c8	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXJ_1 | attPmm and attBmm bound serine integrase complex in the post-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxj	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	B	C	1	3-537	535	0.996262	2	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxj.cif	b3bff78292d680d651082b779229f289e59719af091b2fb55334f1fff40378c8	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXJ_1 | attPmm and attBmm bound serine integrase complex in the post-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxj	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	C	E	2	1-34	34	0.063551	501	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxj.cif	b3bff78292d680d651082b779229f289e59719af091b2fb55334f1fff40378c8	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXJ_1 | attPmm and attBmm bound serine integrase complex in the post-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxj	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	D	F	3	1-33	33	0.061682	502	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxj.cif	b3bff78292d680d651082b779229f289e59719af091b2fb55334f1fff40378c8	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXJ_1 | attPmm and attBmm bound serine integrase complex in the post-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxj	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	E	G	4	1-25	25	0.046729	510	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxj.cif	b3bff78292d680d651082b779229f289e59719af091b2fb55334f1fff40378c8	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXJ_1 | attPmm and attBmm bound serine integrase complex in the post-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxj	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	F	H	5	1-24	24	0.044860	511	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxj.cif	b3bff78292d680d651082b779229f289e59719af091b2fb55334f1fff40378c8	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXJ_1 | attPmm and attBmm bound serine integrase complex in the post-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxj	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	G	I	1	3-537	535	0.996262	2	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxj.cif	b3bff78292d680d651082b779229f289e59719af091b2fb55334f1fff40378c8	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXJ_1 | attPmm and attBmm bound serine integrase complex in the post-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxj	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	H	K	1	3-537	535	0.996262	2	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxj.cif	b3bff78292d680d651082b779229f289e59719af091b2fb55334f1fff40378c8	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXJ_1 | attPmm and attBmm bound serine integrase complex in the post-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxj	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	I	M	2	1-34	34	0.063551	501	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxj.cif	b3bff78292d680d651082b779229f289e59719af091b2fb55334f1fff40378c8	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXJ_1 | attPmm and attBmm bound serine integrase complex in the post-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxj	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	J	N	3	1-33	33	0.061682	502	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxj.cif	b3bff78292d680d651082b779229f289e59719af091b2fb55334f1fff40378c8	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXJ_1 | attPmm and attBmm bound serine integrase complex in the post-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxj	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	K	O	4	1-25	25	0.046729	510	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxj.cif	b3bff78292d680d651082b779229f289e59719af091b2fb55334f1fff40378c8	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXJ_1 | attPmm and attBmm bound serine integrase complex in the post-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxj	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	L	P	5	1-24	24	0.044860	511	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxj.cif	b3bff78292d680d651082b779229f289e59719af091b2fb55334f1fff40378c8	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXJ_1 | attPmm and attBmm bound serine integrase complex in the post-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxk	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	A	A	1	1-535	535	1.000000	0	true	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxk.cif	3c026389051c7682890fd1120dfea335aab652c8d4e4c5841fe56bd621dbf74c	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXK_1 | attPmm bound serine integrase complex in the tetrameric state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxk	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	B	C	1	1-535	535	1.000000	0	true	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxk.cif	3c026389051c7682890fd1120dfea335aab652c8d4e4c5841fe56bd621dbf74c	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXK_1 | attPmm bound serine integrase complex in the tetrameric state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxk	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	C	I	1	1-535	535	1.000000	0	true	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxk.cif	3c026389051c7682890fd1120dfea335aab652c8d4e4c5841fe56bd621dbf74c	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXK_1 | attPmm bound serine integrase complex in the tetrameric state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxk	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	D	K	1	1-535	535	1.000000	0	true	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxk.cif	3c026389051c7682890fd1120dfea335aab652c8d4e4c5841fe56bd621dbf74c	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXK_1 | attPmm bound serine integrase complex in the tetrameric state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxk	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	E	E	2	7-34	28	0.052336	507	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxk.cif	3c026389051c7682890fd1120dfea335aab652c8d4e4c5841fe56bd621dbf74c	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXK_1 | attPmm bound serine integrase complex in the tetrameric state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxk	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	F	F	3	1-27	27	0.050467	508	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxk.cif	3c026389051c7682890fd1120dfea335aab652c8d4e4c5841fe56bd621dbf74c	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXK_1 | attPmm bound serine integrase complex in the tetrameric state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxk	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	G	G	2	9-34	26	0.048598	509	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxk.cif	3c026389051c7682890fd1120dfea335aab652c8d4e4c5841fe56bd621dbf74c	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXK_1 | attPmm bound serine integrase complex in the tetrameric state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxk	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	H	H	3	1-25	25	0.046729	510	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxk.cif	3c026389051c7682890fd1120dfea335aab652c8d4e4c5841fe56bd621dbf74c	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXK_1 | attPmm bound serine integrase complex in the tetrameric state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxk	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	I	M	2	7-34	28	0.052336	507	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxk.cif	3c026389051c7682890fd1120dfea335aab652c8d4e4c5841fe56bd621dbf74c	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXK_1 | attPmm bound serine integrase complex in the tetrameric state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxk	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	J	N	3	1-27	27	0.050467	508	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxk.cif	3c026389051c7682890fd1120dfea335aab652c8d4e4c5841fe56bd621dbf74c	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXK_1 | attPmm bound serine integrase complex in the tetrameric state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxk	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	K	O	2	7-34	28	0.052336	507	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxk.cif	3c026389051c7682890fd1120dfea335aab652c8d4e4c5841fe56bd621dbf74c	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXK_1 | attPmm bound serine integrase complex in the tetrameric state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxk	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	L	P	3	1-27	27	0.050467	508	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxk.cif	3c026389051c7682890fd1120dfea335aab652c8d4e4c5841fe56bd621dbf74c	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXK_1 | attPmm bound serine integrase complex in the tetrameric state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9y66	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	A	A	1	1-397,400-537	535	0.996262	2	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9y66.cif	b7bb600c5ddfb3f3055e633b7190f9c21de312aba251509a7f122c07ec3d1835	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9Y66_1 | attLsym bound serine integrase complex in the dimeric state | 2026-02-04T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9y66	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	B	C	1	1-537	537	1.000000	0	true	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9y66.cif	b7bb600c5ddfb3f3055e633b7190f9c21de312aba251509a7f122c07ec3d1835	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9Y66_1 | attLsym bound serine integrase complex in the dimeric state | 2026-02-04T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9y66	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	C	E	2	2-63	62	0.115888	473	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9y66.cif	b7bb600c5ddfb3f3055e633b7190f9c21de312aba251509a7f122c07ec3d1835	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9Y66_1 | attLsym bound serine integrase complex in the dimeric state | 2026-02-04T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9y66	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	D	F	3	1-62	62	0.115888	473	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9y66.cif	b7bb600c5ddfb3f3055e633b7190f9c21de312aba251509a7f122c07ec3d1835	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9Y66_1 | attLsym bound serine integrase complex in the dimeric state | 2026-02-04T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1278	9hav	candidate	T1278-D1	34-370	A	A	1	33-370	338	1.000000	0	true	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9hav.cif	4883f756bc6db3c32b1ea09001e16ab3580252ec592d986276ab30a5d09f2b88	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9HAV_1 | F420-dependent glucose-6-phosphate dehydrogenase from Thermomicrobium roseus with glucose | 2025-11-19T00:00:00.000+00:00 | X-RAY DIFFRACTION
T1278	9hav	candidate	T1278-D1	34-370	B	B	1	35-369	335	0.994065	2	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9hav.cif	4883f756bc6db3c32b1ea09001e16ab3580252ec592d986276ab30a5d09f2b88	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9HAV_1 | F420-dependent glucose-6-phosphate dehydrogenase from Thermomicrobium roseus with glucose | 2025-11-19T00:00:00.000+00:00 | X-RAY DIFFRACTION
T1278	9hav	candidate	T1278-D1	34-370	C	C	1	34-369	336	0.997033	1	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9hav.cif	4883f756bc6db3c32b1ea09001e16ab3580252ec592d986276ab30a5d09f2b88	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9HAV_1 | F420-dependent glucose-6-phosphate dehydrogenase from Thermomicrobium roseus with glucose | 2025-11-19T00:00:00.000+00:00 | X-RAY DIFFRACTION
T1278	9hav	candidate	T1278-D1	34-370	D	F	1	34-369	336	0.997033	1	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9hav.cif	4883f756bc6db3c32b1ea09001e16ab3580252ec592d986276ab30a5d09f2b88	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9HAV_1 | F420-dependent glucose-6-phosphate dehydrogenase from Thermomicrobium roseus with glucose | 2025-11-19T00:00:00.000+00:00 | X-RAY DIFFRACTION
T1278	9hav	candidate	T1278-D1	34-370	E	E	1	34-369	336	0.997033	1	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9hav.cif	4883f756bc6db3c32b1ea09001e16ab3580252ec592d986276ab30a5d09f2b88	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9HAV_1 | F420-dependent glucose-6-phosphate dehydrogenase from Thermomicrobium roseus with glucose | 2025-11-19T00:00:00.000+00:00 | X-RAY DIFFRACTION
T1278	9hav	candidate	T1278-D1	34-370	F	D	1	34-369	336	0.997033	1	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9hav.cif	4883f756bc6db3c32b1ea09001e16ab3580252ec592d986276ab30a5d09f2b88	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9HAV_1 | F420-dependent glucose-6-phosphate dehydrogenase from Thermomicrobium roseus with glucose | 2025-11-19T00:00:00.000+00:00 | X-RAY DIFFRACTION
T1278	9haw	candidate	T1278-D1	34-370	A	A	1	33-371	339	1.000000	0	true	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9haw.cif	dc7cd87f5f373fa08b777ddb0adb488950b08b18c4fa871d3a5a758f85f020f3	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9HAW_1 | F420-dependent glucose-6-phosphate dehydrogenase without ligand | 2025-11-19T00:00:00.000+00:00 | X-RAY DIFFRACTION
T1278	9haw	candidate	T1278-D1	34-370	B	B	1	34-370	337	1.000000	0	true	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9haw.cif	dc7cd87f5f373fa08b777ddb0adb488950b08b18c4fa871d3a5a758f85f020f3	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9HAW_1 | F420-dependent glucose-6-phosphate dehydrogenase without ligand | 2025-11-19T00:00:00.000+00:00 | X-RAY DIFFRACTION
